last_name,first_name,username,course,cs_account,final,lab1,lab2,lab3,lab4,lab5,lab6,midterm,quiz1,quiz2,quiz3,quiz4
Aguilar,Alyce,cs002,cs00201,aaguilar11,B,C,C-,C+,B,A,A+,B-,A+,B-,B,B+
Anderson,Hilario,cs002,cs00202,handerson5,A-,A,C-,F,B,A+,B+,C+,A+,D+,B-,D+
Black,Seth,cs002,cs00203,sblack11,A+,A+,A+,A+,A+,A+,A+,A,A+,A+,A,A+
Castaneda,Calvin,cs002,cs00204,ccastaneda4,A-,A+,A+,F,F,F,F,A,A+,B+,A+,B+
Duncan,Jerry,cs002,cs00205,jduncan1,A-,A,A+,A-,A,B+,B-,A,B-,B+,A-,A-
Franks,Emanuel,cs002,cs00206,efranks12,B,A-,A+,A,A+,A,A-,A,A,C-,A-,B-
Frost,Sheldon,cs002,cs00207,sfrost1,B,A+,A,F,A+,A-,F,A,A,A,B,F
Gould,Enrique,cs002,cs00208,egould10,B-,B-,F,F,D,C-,F,C+,B,C,B-,C+
Harris,Kristin,cs002,cs00209,kharris9,F,B,A+,A+,A+,F,F,B,A+,A,B-,F
Hernandez,Cynthia,cs002,cs00210,chernandez2,A+,A,A+,A+,B+,A,A+,A,A,A,A+,B+
Holloway,Mary,cs002,cs00211,mholloway8,D+,B,C+,F,F,F,F,D+,F,B+,A-,C
Kirkland,Tasha,cs002,cs00212,tkirkland8,A+,A+,A+,A+,A,A+,A-,A-,A+,A+,A+,A+
Mosley,Hank,cs002,cs00213,hmosley4,C-,A+,C,A-,B,B-,F,D+,A,C,D+,C
Nielsen,Lewis,cs002,cs00214,lnielsen7,B+,B,F,C,F,F,F,D,A-,A,B,F
Oneal,Beverley,cs002,cs00215,boneal9,F,C,F,F,F,F,F,D-,A,C+,B,F
Oneil,Lillian,cs002,cs00216,loneil6,D-,C,F,F,F,C,F,D-,B+,C+,F,D
Price,Woodrow,cs002,cs00217,wprice7,B,A+,B+,A+,A,A,A+,A,A,A-,A-,B+
Ray,Celina,cs002,cs00218,cray5,D-,D,F,F,F,D-,F,F,A,C+,D+,F
